price,bedRoom,bathroom,balcony,floor_type,agePossession,sector,type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury
2.0,3.0,160.0,0.0,2.0,1.45,2.0,2.0,3,1420.0,0,0,0,0,0,2
2.0,3.0,72.0,0.0,2.0,2.22,3.0,3.0,3,1676.0,0,1,0,0,1,2
3.0,3.0,169.0,0.0,3.0,2.15,4.0,5.0,3+,2249.6,0,1,0,0,0,2
1.0,0.0,163.0,0.0,1.0,1.6,3.0,3.0,3,1809.6,0,1,0,0,0,2
3.0,2.0,96.0,1.0,2.0,17.0,5.0,6.0,3,4520.0,0,1,1,1,0,0
3.0,2.0,94.0,0.0,3.0,4.25,3.0,4.0,3+,3200.0,0,1,1,0,0,0
3.0,3.0,88.0,0.0,3.0,1.38,3.0,3.0,2,1144.0,0,0,0,0,0,0
2.0,1.0,179.0,0.0,0.0,0.45,2.0,2.0,2,595.0,0,0,0,0,0,2
1.0,1.0,170.0,0.0,2.0,0.78,2.0,2.0,1,1088.0,0,0,0,0,0,2
3.0,0.0,127.0,1.0,0.0,12.5,6.0,5.0,3,3078.0,1,1,0,1,0,0
2.0,3.0,149.0,0.0,3.0,1.4,3.0,3.0,1,1254.4,0,0,0,0,0,2
3.0,3.0,9.0,1.0,0.0,0.58,2.0,3.0,2,900.0,0,0,0,0,0,2
3.0,0.0,125.0,1.0,1.0,6.75,12.0,12.0,3+,2088.0,1,1,0,1,1,0
3.0,0.0,124.0,1.0,3.0,6.4,4.0,4.0,3,3281.8,0,1,1,0,0,0
3.0,1.0,173.0,0.0,3.0,1.2,3.0,3.0,3,958.0,0,0,1,1,0,2
2.0,3.0,65.0,0.0,1.0,2.45,4.0,4.0,3,2300.0,1,1,1,1,0,2
3.0,0.0,150.0,1.0,0.0,0.27,2.0,2.0,1,226.0,0,0,0,0,0,2
3.0,1.0,150.0,1.0,0.0,0.95,2.0,1.0,1,452.0,0,0,0,0,0,2
2.0,1.0,170.0,0.0,1.0,0.82,2.0,2.0,1,1000.0,0,0,0,0,0,2
1.0,3.0,139.0,0.0,3.0,2.85,3.0,4.0,3+,1490.0,0,1,0,0,0,0
2.0,1.0,158.0,0.0,0.0,2.1,3.0,3.0,3,1620.0,1,1,0,0,0,2
1.0,3.0,166.0,0.0,0.0,0.62,1.0,1.0,0,650.031,0,0,0,0,0,2
0.0,3.0,64.0,0.0,2.0,1.4,2.0,2.0,3,1200.0,0,0,0,0,0,2
0.0,1.0,111.0,0.0,1.0,0.65,2.0,2.0,3,650.0,0,0,0,0,0,2
1.0,0.0,127.0,0.0,1.0,8.0,4.0,3.0,3,9000.0,0,1,0,0,0,2
0.0,3.0,149.0,0.0,3.0,1.46,3.0,3.0,2,1262.4,0,0,0,1,0,0
2.0,0.0,72.0,0.0,3.0,1.3,3.0,2.0,3,1504.0,0,0,0,0,0,2
1.0,3.0,181.0,0.0,1.0,0.27,2.0,2.0,1,484.0,0,0,0,0,1,2
2.0,3.0,149.0,0.0,3.0,1.4,3.0,3.0,1,1200.0,0,0,0,1,0,2
1.0,3.0,71.0,0.0,3.0,2.0,4.0,4.0,3+,2300.0,0,1,0,1,0,0
1.0,0.0,169.0,0.0,3.0,1.77,3.0,4.0,3,1300.0,0,1,0,0,0,0
2.0,1.0,147.0,0.0,0.0,0.6,2.0,2.0,2,560.0,0,0,0,0,0,2
3.0,3.0,145.0,1.0,3.0,9.01,4.0,4.0,3+,5608.0,0,1,1,0,0,2
3.0,3.0,95.0,1.0,0.0,11.0,5.0,5.0,3+,3100.0,1,1,1,1,0,2
3.0,3.0,72.0,1.0,3.0,7.0,5.0,6.0,2,5403.0,0,1,0,0,0,2
1.0,0.0,120.0,0.0,1.0,2.75,3.0,4.0,3+,2000.0,0,1,0,0,1,0
3.0,3.0,144.0,0.0,2.0,2.8,4.0,4.0,3,1650.0,1,0,0,0,0,0
3.0,3.0,143.0,0.0,1.0,3.3,3.0,3.0,3,1200.0,0,1,0,0,0,2
2.0,3.0,76.0,0.0,2.0,2.65,3.0,4.0,3+,1772.0,1,1,1,1,0,2
3.0,0.0,125.0,1.0,2.0,4.4,6.0,6.0,3,2884.0,1,1,1,1,0,1
2.0,3.0,190.0,0.0,3.0,0.72,2.0,2.0,3+,849.0,1,0,0,0,0,2
1.0,1.0,181.0,0.0,2.0,1.35,3.0,5.0,3,1597.6,0,1,0,0,1,2
1.0,0.0,63.0,0.0,0.0,1.2,3.0,3.0,3+,2650.0,0,1,0,0,0,2
2.0,3.0,169.0,0.0,1.0,1.4,2.0,2.0,3,900.0,0,0,0,0,0,2
2.0,1.0,160.0,0.0,1.0,0.71,2.0,2.0,3+,1295.0,0,0,0,0,1,2
1.0,3.0,158.0,0.0,1.0,0.8,2.0,2.0,2,1000.0,0,0,0,0,0,0
2.0,3.0,168.0,0.0,2.0,0.88,3.0,3.0,3,1460.0,0,0,0,1,0,2
2.0,0.0,146.0,0.0,3.0,3.32,4.0,5.0,3+,2108.0,0,1,0,0,0,0
2.0,1.0,148.0,0.0,2.0,1.1,2.0,2.0,3,996.0,0,0,0,0,0,2
3.0,3.0,177.0,0.0,2.0,0.5,2.0,2.0,2,800.0,0,0,0,0,1,2
3.0,2.0,113.0,1.0,1.0,1.6,1.0,1.0,2,893.0,0,0,0,0,0,2
1.0,3.0,77.0,0.0,3.0,5.6,4.0,6.0,3+,3878.4,0,1,0,0,0,0
1.0,3.0,165.0,0.0,3.0,0.94,2.0,2.0,3+,1148.0,1,0,0,0,0,0
3.0,1.0,72.0,1.0,3.0,6.75,4.0,4.0,3+,6232.0,0,1,0,1,0,2
1.0,3.0,64.0,0.0,3.0,1.7,3.0,4.0,3+,1600.0,0,1,0,1,0,0
1.0,1.0,190.0,0.0,1.0,0.5,2.0,2.0,2,531.521382,0,0,0,0,0,2
3.0,0.0,120.0,1.0,1.0,6.25,7.0,7.0,3+,2034.0,1,1,1,0,0,2
2.0,3.0,164.0,0.0,2.0,4.2,4.0,4.0,3+,2900.0,0,1,0,0,0,0
3.0,3.0,124.0,1.0,3.0,6.4,3.0,4.0,3,200.0,1,1,1,0,0,0
0.0,3.0,4.0,1.0,0.0,0.13,1.0,1.0,0,788.0,0,0,0,0,0,2
3.0,0.0,121.0,1.0,2.0,10.0,6.0,6.0,3+,3240.0,1,1,1,1,0,0
3.0,2.0,98.0,1.0,1.0,1.39,2.0,2.0,1,1200.0,0,0,1,0,0,2
2.0,3.0,177.0,0.0,3.0,0.82,3.0,3.0,3+,1218.4,0,0,0,0,0,2
1.0,1.0,168.0,0.0,0.0,0.85,2.0,2.0,3,1080.0,1,0,0,0,1,2
1.0,4.0,141.0,0.0,0.0,4.25,3.0,3.0,3,1600.0,1,0,0,0,0,2
1.0,0.0,63.0,0.0,2.0,0.6,3.0,2.0,2,1077.0,0,0,0,0,0,2
1.0,3.0,124.0,0.0,3.0,3.65,3.0,3.0,3+,1496.0,0,0,0,0,1,0
4.0,1.0,154.0,0.0,3.0,5.25,4.0,4.0,3+,2800.0,0,1,0,0,0,0
3.0,2.0,81.0,1.0,0.0,4.6,1.0,1.0,0,2248.84,0,0,0,0,0,2
3.0,0.0,125.0,1.0,2.0,2.5,3.0,3.0,2,1850.0,0,0,1,1,0,2
2.0,1.0,190.0,0.0,1.0,1.5,2.0,2.0,3,1225.0,0,0,0,0,0,2
3.0,2.0,120.0,1.0,0.0,3.35,1.0,1.0,0,1238.0,0,0,0,0,0,2
3.0,2.0,120.0,0.0,2.0,1.35,3.0,3.0,3,1345.0,0,0,0,0,1,0
2.0,3.0,66.0,0.0,2.0,1.25,3.0,4.0,3+,1475.2,0,1,0,0,1,2
1.0,0.0,17.0,1.0,0.0,0.7,2.0,2.0,1,509.0,0,0,0,0,0,2
2.0,2.0,120.0,0.0,3.0,6.0,4.0,4.0,3+,2300.0,0,1,0,0,0,0
1.0,3.0,167.0,0.0,2.0,1.8,3.0,4.0,3+,1500.0,0,1,0,0,0,0
3.0,1.0,168.0,0.0,2.0,1.05,4.0,4.0,3+,1676.0,1,0,0,0,0,2
3.0,3.0,145.0,1.0,2.0,19.0,5.0,6.0,3+,6000.0,0,1,1,1,0,0
3.0,3.0,151.0,0.0,3.0,1.65,3.0,4.0,3,1267.0,0,1,0,0,0,1
1.0,3.0,153.0,0.0,0.0,0.79,2.0,2.0,2,958.4,0,0,0,0,1,2
2.0,3.0,164.0,0.0,3.0,0.31,1.0,1.0,1,417.0,0,0,0,0,0,1
3.0,3.0,72.0,1.0,3.0,6.25,5.0,7.0,3+,6232.0,1,1,1,1,0,2
1.0,3.0,88.0,0.0,1.0,0.35,2.0,2.0,2,600.0,0,0,0,0,0,2
1.0,0.0,98.0,0.0,0.0,5.5,4.0,5.0,3+,3011.2000000000003,0,1,0,0,1,0
3.0,3.0,160.0,0.0,0.0,1.45,3.0,3.0,3,1945.0,0,0,0,0,0,2
3.0,1.0,110.0,0.0,0.0,0.4,2.0,2.0,2,600.0,0,0,0,0,0,2
